Tool	Scope	Purpose	Cost	Source Code	User Interface	Usage	Base / environment	Website
cartopy	discipline specific	spatial	free	open	command line	visualisation	Python	http://scitools.org.uk/cartopy/
Google Earth	discipline specific	spatial	free	closed	graphical	visualisation		
QGIS	discipline specific	spatial	free	open	graphical	visualisation		http://www.qgis.org/en/site/
SAGA	discipline specific	spatial	free	open	graphical	visualisation		http://www.saga-gis.org/en/index.html
TileMill	discipline specific	spatial	free	open	graphical	visualisation		https://tilemill-project.github.io/tilemill/
Latent GOLD	discipline specific	statistical modelling	pay	closed	graphical	analysis and visualisation		http://www.statisticalinnovations.com/latent-gold-5-1/
Netica	discipline specific	statistical modelling	free	closed	graphical	analysis and visualisation		https://www.norsys.com/
netlogo	discipline specific	statistical modelling	free	closed	graphical	analysis and visualisation		https://ccl.northwestern.edu/netlogo/
Diogenes	discipline specific	text analysis	free	open	graphical	analysis		https://community.dur.ac.uk/p.j.heslin/Software/Diogenes/
Leximancer	discipline specific	text analysis	pay	closed	graphical	analysis and visualisation		https://info.leximancer.com/
NCO	general	file manipulation	free	closed	command line	analysis	Unix Shell	http://nco.sourceforge.net/
BoxPlotR	general	general data science	free	open	website	visualisation	stand alone; R	http://shiny.chemgrid.org/boxplotr/
D3.js	general	general data science	free	open	command line	visualisation	Javascript	https://d3js.org/
dplyr	general	general data science	free	open	command line	analysis	R	http://dplyr.tidyverse.org/
Gephi	general	general data science	free	open	graphical	visualisation		https://gephi.org/
ggplot	general	general data science	free	open	command line	visualisation	R	http://ggplot2.tidyverse.org/reference/
Gnumetric	general	general data science	free	open	graphical	analysis and visualisation		http://www.gnumeric.org/
gnuplot	general	general data science	free	open	command line	visualisation	Unix Shell	http://www.gnuplot.info/
Google Sheets	general	general data science	free	closed	graphical	analysis and visualisation		
GraphPad Prism	general	general data science	pay	closed	graphical	analysis and visualisation		https://www.graphpad.com/scientific-software/prism/
IDL	general	general data science	pay	closed	command line	analysis and visualisation		http://www.harrisgeospatial.co.uk/ProductsServices/IDL.aspx
Igor Pro	general	general data science	pay	closed	graphical and command line	analysis and visualisation		https://www.wavemetrics.com/index.html
JMP	general	general data science	pay	closed	graphical	analysis and visualisation		https://www.jmp.com/en_us/software/data-analysis-software.html
Mathmatica	general	general data science	pay		graphical and command line	analysis and visualisation		https://www.wolfram.com/mathematica/
MATLAB	general	general data science	pay	closed	graphical and command line	analysis and visualisation		
matplotlib	general	general data science	free	open	command line	visualisation	Python	https://matplotlib.org/
Microsoft Excel	general	general data science	pay	closed	graphical	analysis and visualisation		
Minitab	general	general data science	pay	closed	graphical	analysis and visualisation		http://www.minitab.com/en-us/
Mircosoft Visio	general	general data science	pay	closed	graphical	visualisation		
Origin	general	general data science	pay	closed	graphical and command line	analysis and visualisation		http://www.originlab.com/Origin
Plotly	general	general data science	free with advanced pay options	open	command line	visualisation	Python; R; MATLAB; Javascript	https://plot.ly/
SciPy	general	general data science	free	open	command line	analysis	Python	https://www.scipy.org/scipylib/index.html
Shiny	general	general data science	free	open	command line	visualisation	R	https://shiny.rstudio.com/
SigmaPlot	general	general data science	pay	closed	graphical	visualisation		https://systatsoftware.com/products/sigmaplot/
SM	general	general data science	pay	closed	command line	visualisation		http://www.astro.princeton.edu/~rhl/sm/
Tableau	general	general data science	pay	closed	graphical	visualisation		https://www.tableau.com/
xarray	general	general data science	free	open	command line	analysis and visualisation	Python	http://xarray.pydata.org/en/stable/
C / C++	general	general purpose programming language	free		command line	analysis		
Clojure	general	general purpose programming language	free		command line	analysis and visualisation		https://clojure.org/
Fortran	general	general purpose programming language	free		command line	analysis		
HTML	general	general purpose programming language	free		command line	visualisation		
Javascript	general	general purpose programming language	free		command line	visualisation		
Perl	general	general purpose programming language	free		command line	analysis and visualisation		
Python	general	general purpose programming language	free	open	command line	analysis and visualisation		
R	general	general purpose programming language	free	open	command line	analysis and visualisation		
Visual Basic	general	general purpose programming language	pay	closed	graphical and command line			https://docs.microsoft.com/en-us/dotnet/visual-basic/
NVivo	general	qualitative data	pay	closed	graphical	analysis and visualisation		http://www.qsrinternational.com/nvivo-product
PRIMER-E	general	statistics	pay	closed	graphical	analysis and visualisation		http://www.primer-e.com/index.htm
SAS/STAT	general	statistics	pay	closed	graphical	analysis and visualisation		https://www.sas.com/en_au/software/analytics/stat.html
SigmaStat	general	statistics	pay	closed	graphical	analysis and visualisation		https://systatsoftware.com/products/sigmastat/
SPSS	general	statistics	pay	closed	graphical	analysis and visualisation		
Stata	general	statistics	pay	closed	graphical	analysis and visualisation		http://www.stata.com/
AppleScript	general	workflow coordination	pay		command line			
Make	general	workflow coordination	free		command line		Unix Shell	https://www.gnu.org/software/make/
Unix Shell	general	workflow coordination	free		command line			
Windows Shell	general	workflow coordination	pay		command line			
Carneades			free	open				https://carneades.github.io/
CMISS								http://www.cmiss.org/
MED-PC			pay	closed	graphical	analysis and visualisation		http://www.med-associates.com/product/med-pc-iv-software/
Processing								https://processing.org/
